Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3534500;Interior;Oscar Bressane;258;7;;;
3534609;Interior;Osvaldo Cruz;3318;90;;;
3534708;Interior;Ourinhos;11246;296;;;
3534757;Interior;Ouroeste;1022;22;;;
3534807;Interior;Ouro Verde;455;15;;;
3534906;Interior;Pacaembu;1099;26;;;
3535002;Interior;Palestina;593;31;;;
3535101;Interior;Palmares Paulista;1232;34;;;
3535200;Interior;Palmeira d'Oeste;616;13;;;
3535309;Interior;Palmital;2358;57;;;
3535408;Interior;Panorama;1068;37;;;
3535507;Interior;Paraguaçu Paulista;3809;112;;;
3535606;Interior;Paraibuna;1112;40;;;
3535705;Interior;Paraíso;411;19;;;
3535804;Interior;Paranapanema;1591;58;;;
3535903;Interior;Paranapuã;376;16;;;
3536000;Interior;Parapuã;1102;30;;;
3536109;Interior;Pardinho;664;14;;;
3536208;Interior;Pariquera-Açu;2073;51;;;
3536257;Interior;Parisi;367;15;;;
3536307;Interior;Patrocínio Paulista;805;26;;;
3536406;Interior;Paulicéia;423;10;;;
3536505;Interior;Paulínia;12839;228;;;
3536570;Interior;Paulistânia;119;6;;;
3536604;Interior;Paulo de Faria;594;22;;;
3536703;Interior;Pederneiras;3705;71;;;
3536802;Interior;Pedra Bela;171;4;;;
3536901;Interior;Pedranópolis;197;5;;;
3537008;Interior;Pedregulho;263;14;;;
3537107;Interior;Pedreira;3216;48;;;
3537156;Interior;Pedrinhas Paulista;365;4;;;
3537206;Interior;Pedro de Toledo;349;15;;;
3537305;Interior;Penápolis;5585;205;;;
3537404;Interior;Pereira Barreto;1894;62;;;
3537503;Interior;Pereiras;908;18;;;
3537602;Interior;Peruíbe;5617;186;;;
3537701;Interior;Piacatu;607;9;;;
3537800;Interior;Piedade;3905;118;;;
3537909;Interior;Pilar do Sul;2402;65;;;
3538006;Interior;Pindamonhangaba;9964;262;;;
3538105;Interior;Pindorama;1130;49;;;
3538204;Interior;Pinhalzinho;688;5;;;
3538303;Interior;Piquerobi;190;3;;;
3538501;Interior;Piquete;310;11;;;
3538600;Interior;Piracaia;2753;33;;;
3538709;Interior;Piracicaba;51304;1034;;;
3538808;Interior;Piraju;1537;53;;;
3538907;Interior;Pirajuí;1892;44;;;
3539004;Interior;Pirangi;1437;56;;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1371;15;;;
3539202;Interior;Pirapozinho;2179;58;;;
3539301;Interior;Pirassununga;7619;211;;;
3539400;Interior;Piratininga;731;27;;;
3539509;Interior;Pitangueiras;4365;135;;;
3539608;Interior;Planalto;535;7;;;
3539707;Interior;Platina;273;9;;;
3539806;RMSP (exceto capital);Poá;6533;325;;;
3539905;Interior;Poloni;621;13;;;
3540002;Interior;Pompéia;830;24;;;
3540101;Interior;Pongaí;268;8;;;
3540200;Interior;Pontal;4671;145;;;
3540259;Interior;Pontalinda;175;11;;;
3540309;Interior;Pontes Gestal;286;8;;;
3540408;Interior;Populina;161;5;;;
3540507;Interior;Porangaba;741;18;;;
3540606;Interior;Porto Feliz;6623;100;;;
3540705;Interior;Porto Ferreira;5096;122;;;
3540754;Interior;Potim;1604;33;;;
3540804;Interior;Potirendaba;2354;63;;;
3540853;Interior;Pracinha;171;1;;;
3540903;Interior;Pradópolis;1647;35;;;
3541000;Interior;Praia Grande;17862;608;;;
3541059;Interior;Pratânia;663;9;;;
3541109;Interior;Presidente Alves;247;7;;;
3541208;Interior;Presidente Bernardes;1112;32;;;
3541307;Interior;Presidente Epitácio;2409;90;;;
3541406;Interior;Presidente Prudente;24646;718;;;
3541505;Interior;Presidente Venceslau;2651;83;;;
3541604;Interior;Promissão;4721;76;;;
3541653;Interior;Quadra;149;6;;;
3541703;Interior;Quatá;1064;20;;;
3541802;Interior;Queiroz;281;3;;;
3541901;Interior;Queluz;877;6;;;
3542008;Interior;Quintana;478;17;;;
3542107;Interior;Rafard;864;5;;;
3542206;Interior;Rancharia;3488;74;;;
3542305;Interior;Redenção da Serra;97;2;;;
3542404;Interior;Regente Feijó;589;44;;;
3542503;Interior;Reginópolis;279;12;;;
3542602;Interior;Registro;5703;184;;;
3542701;Interior;Restinga;484;7;;;
3542800;Interior;Ribeira;317;2;;;
3542909;Interior;Ribeirão Bonito;794;23;;;
3543006;Interior;Ribeirão Branco;1315;41;;;
3543105;Interior;Ribeirão Corrente;244;3;;;
3543204;Interior;Ribeirão do Sul;515;9;;;
3543238;Interior;Ribeirão dos Índios;69;5;;;
3543253;Interior;Ribeirão Grande;353;8;;;
3543303;RMSP (exceto capital);Ribeirão Pires;7553;289;;;
3543402;Interior;Ribeirão Preto;62437;2381;;;
3543501;Interior;Riversul;449;25;;;
3543600;Interior;Rifaina;373;10;;;
3543709;Interior;Rincão;406;23;;;
3543808;Interior;Rinópolis;334;6;;;
3543907;Interior;Rio Claro;10896;460;;;
3544004;Interior;Rio das Pedras;2728;71;;;
3544103;RMSP (exceto capital);Rio Grande da Serra;1924;68;;;
3544202;Interior;Riolândia;1609;24;;;
3544251;Interior;Rosana;1075;38;;;
3544301;Interior;Roseira;1289;21;;;
3544400;Interior;Rubiácea;134;8;;;
3544509;Interior;Rubinéia;326;5;;;
3544608;Interior;Sabino;263;24;;;
3544707;Interior;Sagres;196;0;;;
3544806;Interior;Sales;400;24;;;
3544905;Interior;Sales Oliveira;1576;23;;;
3545001;RMSP (exceto capital);Salesópolis;511;40;;;
3545100;Interior;Salmourão;293;20;;;
3545159;Interior;Saltinho;698;11;;;
3545209;Interior;Salto;9182;276;;;
3545308;Interior;Salto de Pirapora;3369;148;;;
3545407;Interior;Salto Grande;724;7;;;
3545506;Interior;Sandovalina;264;8;;;
3545605;Interior;Santa Adélia;1334;50;;;
3545704;Interior;Santa Albertina;568;19;;;
3545803;Interior;Santa Bárbara d'Oeste;17303;577;;;
3546009;Interior;Santa Branca;877;26;;;
3546108;Interior;Santa Clara d'Oeste;203;13;;;
3546207;Interior;Santa Cruz da Conceição;542;8;;;
3546256;Interior;Santa Cruz da Esperança;168;3;;;
3546306;Interior;Santa Cruz das Palmeiras;3424;97;;;
3546405;Interior;Santa Cruz do Rio Pardo;4899;94;;;
3546504;Interior;Santa Ernestina;481;12;;;
3546603;Interior;Santa Fé do Sul;3701;87;;;
3546702;Interior;Santa Gertrudes;3145;57;;;
3546801;RMSP (exceto capital);Santa Isabel;5283;215;;;
3546900;Interior;Santa Lúcia;594;16;;;
3547007;Interior;Santa Maria da Serra;570;5;;;
3547106;Interior;Santa Mercedes;159;4;;;
3547205;Interior;Santana da Ponte Pensa;42;2;;;
3547304;RMSP (exceto capital);Santana de Parnaíba;12270;308;;;
3547403;Interior;Santa Rita d'Oeste;247;7;;;
3547502;Interior;Santa Rita do Passa Quatro;1436;30;;;
3547601;Interior;Santa Rosa de Viterbo;1883;36;;;
3547650;Interior;Santa Salete;174;4;;;
3547700;Interior;Santo Anastácio;1263;29;;;
3547809;RMSP (exceto capital);Santo André;55217;2625;;;
3547908;Interior;Santo Antônio da Alegria;656;16;;;
3548005;Interior;Santo Antônio de Posse;2514;31;;;
3548054;Interior;Santo Antônio do Aracanguá;525;24;;;
3548104;Interior;Santo Antônio do Jardim;419;15;;;
3548203;Interior;Santo Antônio do Pinhal;517;7;;;
3548302;Interior;Santo Expedito;151;3;;;
3548401;Interior;Santópolis do Aguapeí;470;14;;;
3548500;Interior;Santos;53062;1774;;;
3548609;Interior;São Bento do Sapucaí;613;7;;;
3548708;RMSP (exceto capital);São Bernardo do Campo;64479;2756;;;
3548807;RMSP (exceto capital);São Caetano do Sul;16247;761;;;
3548906;Interior;São Carlos;20273;403;;;
3549003;Interior;São Francisco;196;9;;;
3549102;Interior;São João da Boa Vista;6587;220;;;
3549201;Interior;São João das Duas Pontes;149;5;;;
3549250;Interior;São João de Iracema;126;6;;;
3549300;Interior;São João do Pau d'Alho;121;0;;;
3549409;Interior;São Joaquim da Barra;5250;108;;;
3549508;Interior;São José da Bela Vista;260;14;;;
3549607;Interior;São José do Barreiro;257;4;;;
3549706;Interior;São José do Rio Pardo;2420;71;;;
3549805;Interior;São José do Rio Preto;78074;2301;;;
3549904;Interior;São José dos Campos;76999;1603;;;
3549953;RMSP (exceto capital);São Lourenço da Serra;636;32;;;
3550001;Interior;São Luiz do Paraitinga;67;17;;;
3550100;Interior;São Manuel;4537;114;;;
3550209;Interior;São Miguel Arcanjo;1629;53;;;
3550308;Capital;São Paulo;813711;31779;;;
3550407;Interior;São Pedro;4059;72;;;
3550506;Interior;São Pedro do Turvo;555;6;;;
3550605;Interior;São Roque;5531;85;;;
3550704;Interior;São Sebastião;7279;145;;;
3550803;Interior;São Sebastião da Grama;936;27;;;
3550902;Interior;São Simão;799;22;;;
3551009;Interior;São Vicente;16464;1003;;;
3551108;Interior;Sarapuí;321;3;;;
3551207;Interior;Sarutaiá;106;8;;;
3551306;Interior;Sebastianópolis do Sul;127;6;;;
3551405;Interior;Serra Azul;1069;12;;;
3551504;Interior;Serrana;4133;87;;;
3551603;Interior;Serra Negra;2307;46;;;
3551702;Interior;Sertãozinho;14357;369;;;
3551801;Interior;Sete Barras;1608;35;;;
3551900;Interior;Severínia;1964;55;;;
3552007;Interior;Silveiras;398;6;;;
3552106;Interior;Socorro;3473;57;;;
3552205;Interior;Sorocaba;58476;2058;;;
3552304;Interior;Sud Mennucci;819;10;;;
3552403;Interior;Sumaré;20995;650;;;
3552502;RMSP (exceto capital);Suzano;19024;756;;;
3552551;Interior;Suzanápolis;301;10;;;
3552601;Interior;Tabapuã;1425;41;;;
3552700;Interior;Tabatinga;1563;48;;;
